날짜,시간대,차량진입횟수,체류시간,anchored_count,TotalTonnage,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,기온(C),풍속(m/s),강수량(mm),습도(%)
2020-09-01,01:00:00,,,1.0,9751.0,16.0,16.0,0.026,0.004,0.1,0.001,22.1,2.1,0.0,84.1
2020-09-01,02:00:00,,,2.0,9929.0,11.0,9.0,0.029,0.003,0.1,0.001,22.2,1.7,0.0,82.4
2020-09-01,03:00:00,,,4.0,21044.0,11.0,8.0,0.03,0.004,0.1,0.001,22.4,2.8,0.0,81.7
2020-09-01,04:00:00,,,3.0,20866.0,17.0,7.0,0.031,0.004,0.1,0.001,22.5,2.8,0.0,83.5
2020-09-01,05:00:00,,,3.0,20866.0,12.0,11.0,0.031,0.004,0.1,0.001,22.1,2.1,0.0,84.2
2020-09-01,06:00:00,,,4.0,45399.0,18.0,11.0,0.03,0.005,0.1,0.001,21.5,1.3,0.0,88.6
2020-09-01,07:00:00,8.0,0 days 00:21:00,5.0,104616.0,17.0,10.0,0.025,0.009,0.1,0.001,22.5,1.5,0.0,84.5
2020-09-01,08:00:00,520.0,0 days 00:30:33.230769230,6.0,108479.0,17.0,9.0,0.02,0.014,0.1,0.001,23.5,0.8,0.0,82.3
2020-09-01,09:00:00,754.0,0 days 00:29:29.761273209,8.0,121794.0,14.0,9.0,0.019,0.015,0.1,0.002,24.2,1.4,0.0,79.5
2020-09-01,10:00:00,900.0,0 days 00:29:26.533333333,10.0,194723.0,21.0,12.0,0.021,0.014,0.1,0.002,24.2,1.4,0.0,81.3
2020-09-01,11:00:00,898.0,0 days 00:58:36.881959910,11.0,199317.0,13.0,7.0,0.026,0.012,0.2,0.002,25.1,2.5,0.0,79.3
2020-09-01,12:00:00,26.0,0 days 00:26:46.153846153,10.0,200582.0,15.0,8.0,0.028,0.014,0.1,0.004,26.7,1.9,0.0,73.7
2020-09-01,13:00:00,1150.0,0 days 00:31:55.721739130,11.0,203578.0,,,,,,,28.4,2.6,0.0,69.1
2020-09-01,14:00:00,1082.0,0 days 00:34:12.310536044,8.0,188477.0,,,,,,,27.4,2.9,0.0,68.9
2020-09-01,15:00:00,1158.0,0 days 00:42:57.720207253,8.0,188477.0,,,,,,,25.9,1.4,0.0,76.9
2020-09-01,16:00:00,1076.0,0 days 00:39:29.219330855,9.0,188667.0,,,,,,,25.5,1.6,0.0,76.5
2020-09-01,17:00:00,816.0,0 days 00:56:13.529411764,8.0,188477.0,,,,,,,24.8,1.6,0.0,82.2
2020-09-01,18:00:00,96.0,0 days 00:41:01.250000,9.0,205596.0,,,,,,,24.4,0.3,0.0,85.5
2020-09-01,19:00:00,880.0,0 days 00:45:51.818181818,10.0,215195.0,,,,,,,24.2,1.2,0.0,82.2
2020-09-01,20:00:00,420.0,0 days 00:45:34.857142857,10.0,215195.0,,,,,,,24.2,1.0,0.0,83.9
2020-09-01,21:00:00,266.0,0 days 00:36:01.353383458,10.0,216008.0,,,,,,,24.3,2.2,0.0,83.6
2020-09-01,22:00:00,106.0,0 days 00:40:44.150943396,7.0,134018.0,,,,,,,24.0,2.2,0.0,85.1
2020-09-01,23:00:00,26.0,0 days 00:30:09.230769230,5.0,44215.0,,,,,,,24.5,1.9,0.0,82.3
2020-09-02,00:00:00,,,5.0,44215.0,,,,,,,24.2,2.6,0.0,83.9
2020-09-02,01:00:00,,,5.0,44215.0,,,,,,,24.1,3.2,0.0,83.8
2020-09-02,02:00:00,,,5.0,44215.0,,,,,,,24.1,1.4,0.0,84.5
2020-09-02,03:00:00,,,6.0,44301.0,,,,,,,24.2,2.1,0.0,84.1
2020-09-02,04:00:00,,,6.0,44301.0,,,,,,,23.2,1.2,0.5,91.7
2020-09-02,05:00:00,,,7.0,46741.0,,,,,,,23.3,3.2,0.0,90.5
2020-09-02,06:00:00,,,7.0,46741.0,,,,,,,23.5,1.9,0.0,89.4
2020-09-02,07:00:00,,,7.0,46741.0,,,,,,,23.1,1.2,0.5,92.6
2020-09-02,08:00:00,,,7.0,46741.0,,,,,,,22.9,1.9,1.5,96.0
2020-09-02,09:00:00,,,7.0,46741.0,,,,,,,22.8,3.0,4.0,95.8
2020-09-02,10:00:00,,,7.0,46741.0,,,,,,,23.4,1.1,2.0,91.1
2020-09-02,11:00:00,,,7.0,46741.0,,,,,,,22.8,4.0,1.0,94.8
2020-09-02,12:00:00,,,7.0,46741.0,,,,,,,23.6,2.0,0.0,90.2
2020-09-02,13:00:00,,,7.0,46741.0,,,,,,,23.8,2.5,0.0,90.3
2020-09-02,14:00:00,,,7.0,46741.0,,,,,,,23.8,2.1,0.0,89.6
2020-09-02,15:00:00,,,8.0,52198.0,,,,,,,23.5,1.6,1.0,91.8
2020-09-02,16:00:00,,,8.0,52198.0,,,,,,,23.2,2.5,3.0,92.5
2020-09-02,17:00:00,,,8.0,52198.0,,,,,,,23.1,2.7,9.5,93.9
2020-09-02,18:00:00,,,8.0,52198.0,,,,,,,22.8,2.6,6.5,94.4
2020-09-02,19:00:00,,,8.0,52198.0,,,,,,,22.9,5.7,7.0,93.0
2020-09-02,20:00:00,,,8.0,52198.0,,,,,,,22.7,5.8,12.0,93.8
2020-09-02,21:00:00,,,8.0,52198.0,,,,,,,22.6,2.9,21.5,95.4
2020-09-02,22:00:00,,,8.0,52198.0,,,,,,,22.9,4.8,23.0,92.0
2020-09-02,23:00:00,,,8.0,52198.0,,,,,,,22.8,5.8,24.0,93.8
2020-09-03,00:00:00,,,8.0,52198.0,,,,,,,22.8,4.1,18.5,93.0
2020-09-03,01:00:00,,,8.0,52198.0,,,,,,,22.4,4.3,18.5,94.7
2020-09-03,02:00:00,,,8.0,52198.0,,,,,,,21.8,6.1,30.0,93.6
2020-09-03,03:00:00,,,8.0,52198.0,,,,,,,21.4,4.2,11.5,94.1
2020-09-03,04:00:00,,,8.0,52198.0,,,,,,,21.0,3.7,4.0,92.2
2020-09-03,05:00:00,,,8.0,52198.0,,,,,,,19.9,2.3,9.0,93.8
2020-09-03,06:00:00,,,8.0,52198.0,,,,,,,19.8,4.1,1.0,94.1
2020-09-03,07:00:00,34.0,0 days 00:24:17.647058823,8.0,52198.0,,,,,,,19.8,2.7,1.0,92.8
2020-09-03,08:00:00,680.0,0 days 00:27:47.470588235,8.0,52198.0,,,,,,,19.9,2.6,0.5,90.3
2020-09-03,09:00:00,1106.0,0 days 00:35:49.909584086,8.0,52198.0,,,,,,,20.2,3.1,0.0,87.2
2020-09-03,10:00:00,1200.0,0 days 00:34:47.300000,7.0,49857.0,,,,,,,20.7,3.2,0.0,81.4
2020-09-03,11:00:00,898.0,0 days 00:58:06.414253897,7.0,49857.0,,,,,,,21.7,1.9,0.0,78.3
2020-09-03,12:00:00,52.0,0 days 00:33:20.769230769,7.0,49857.0,,,,,,,22.9,1.8,0.0,74.0
2020-09-03,13:00:00,1166.0,0 days 00:28:20.686106346,7.0,49857.0,,,,,,,23.5,3.4,0.0,69.7
2020-09-03,14:00:00,1182.0,0 days 00:36:10.964467005,8.0,67921.0,,,,,,,23.4,1.3,0.0,70.8
2020-09-03,15:00:00,1222.0,0 days 00:40:49.001636661,8.0,67921.0,,,,,,,24.1,3.0,0.0,68.5
2020-09-03,16:00:00,1052.0,0 days 00:41:43.916349809,9.0,74286.0,,,,,,,24.3,1.9,0.0,67.0
2020-09-03,17:00:00,700.0,0 days 00:40:51.257142857,8.0,73963.0,,,,,,,22.8,2.9,0.0,70.2
2020-09-03,18:00:00,82.0,0 days 00:39:08.780487804,9.0,82993.0,,,,,,,21.6,1.5,0.0,73.1
2020-09-03,19:00:00,570.0,0 days 00:35:52.842105263,8.0,73242.0,,,,,,,19.2,0.4,0.0,89.2
2020-09-03,20:00:00,246.0,0 days 00:37:34.634146341,11.0,340313.0,,,,,,,18.1,1.1,0.0,93.3
2020-09-03,21:00:00,228.0,0 days 00:26:28.421052631,12.0,358201.0,,,,,,,18.5,1.3,0.0,83.3
2020-09-03,22:00:00,84.0,0 days 00:22:01.428571428,14.0,376532.0,,,,,,,16.8,0.9,0.0,95.2
2020-09-03,23:00:00,2.0,0 days 00:14:00,15.0,380344.0,,,,,,,17.1,1.1,0.0,95.2
2020-09-04,00:00:00,,,14.0,355465.0,,,,,,,17.6,0.9,0.0,89.1
2020-09-04,01:00:00,,,16.0,392233.0,,,,,,,16.7,0.7,0.0,96.2
2020-09-04,02:00:00,,,17.0,394456.0,,,,,,,16.8,0.9,0.0,93.1
2020-09-04,03:00:00,,,16.0,376204.0,,,,,,,18.4,2.0,0.0,84.0
2020-09-04,04:00:00,,,18.0,396801.0,,,,,,,17.0,1.9,0.0,90.9
2020-09-04,05:00:00,,,17.0,387771.0,,,,,,,16.6,1.1,0.0,93.4
2020-09-04,06:00:00,,,19.0,388192.0,,,,,,,17.8,1.8,0.0,81.8
2020-09-04,07:00:00,14.0,0 days 00:20:34.285714285,22.0,515059.0,,,,,,,17.6,1.3,0.0,86.5
2020-09-04,08:00:00,626.0,0 days 00:28:51.757188498,22.0,517190.0,,,,,,,18.9,0.7,0.0,83.8
2020-09-04,09:00:00,728.0,0 days 00:32:08.076923076,23.0,526694.0,,,,,,,20.5,1.7,0.0,81.2
2020-09-04,10:00:00,876.0,0 days 00:41:26.712328767,25.0,747716.0,,,,,,,22.5,1.1,0.0,77.4
2020-09-04,11:00:00,780.0,0 days 01:01:49.692307692,25.0,744629.0,,,,,,,23.6,2.2,0.0,71.0
2020-09-04,12:00:00,18.0,0 days 00:35:40,26.0,917920.0,,,,,,,24.5,2.3,0.0,69.3
2020-09-04,13:00:00,1058.0,0 days 00:34:07.599243856,27.0,959251.0,,,,,,,24.0,2.0,0.0,70.3
2020-09-04,14:00:00,852.0,0 days 00:32:26.619718309,29.0,1073298.0,,,,,,,23.1,0.7,0.0,74.4
2020-09-04,15:00:00,800.0,0 days 00:33:08.850000,29.0,860642.0,,,,,,,24.7,0.8,0.0,70.6
2020-09-04,16:00:00,1144.0,0 days 00:39:52.867132867,28.0,874535.0,,,,,,,23.5,0.6,0.0,73.3
2020-09-04,17:00:00,688.0,0 days 00:45:26.511627906,28.0,939655.0,,,,,,,23.2,1.2,0.0,80.5
2020-09-04,18:00:00,72.0,0 days 00:51:11.666666666,28.0,965283.0,,,,,,,22.5,0.9,0.0,84.2
2020-09-04,19:00:00,872.0,0 days 00:51:17.064220183,26.0,906158.0,,,,,,,21.0,1.2,0.0,89.5
2020-09-04,20:00:00,424.0,0 days 00:43:41.037735849,28.0,909497.0,,,,,,,20.1,0.7,0.0,94.7
2020-09-04,21:00:00,252.0,0 days 00:37:05.714285714,28.0,873338.0,,,,,,,19.0,0.8,0.0,94.3
2020-09-04,22:00:00,122.0,0 days 00:25:51.147540983,32.0,993150.0,,,,,,,18.6,1.5,0.0,94.5
2020-09-04,23:00:00,18.0,0 days 00:20:46.666666666,30.0,874829.0,,,,,,,18.6,1.5,0.0,90.4
2020-09-05,00:00:00,,,29.0,853909.0,,,,,,,18.6,1.8,0.0,87.2
2020-09-05,01:00:00,,,31.0,949622.0,,,,,,,18.5,1.7,0.0,86.8
2020-09-05,02:00:00,,,32.0,954002.0,,,,,,,18.6,2.1,0.0,85.0
2020-09-05,03:00:00,,,30.0,847540.0,,,,,,,18.8,2.3,0.0,77.6
2020-09-05,04:00:00,,,29.0,735392.0,,,,,,,18.0,1.7,0.0,79.6
2020-09-05,05:00:00,,,34.0,798825.0,,,,,,,18.1,1.5,0.0,81.2
2020-09-05,06:00:00,,,32.0,758135.0,,,,,,,17.7,1.6,0.0,90.6
2020-09-05,07:00:00,16.0,0 days 00:28:52.500000,34.0,758733.0,,,,,,,19.2,2.3,0.0,82.6
2020-09-05,08:00:00,442.0,0 days 00:37:46.153846153,37.0,769626.0,,,,,,,20.8,0.3,0.0,79.7
2020-09-05,09:00:00,576.0,0 days 00:34:34.166666666,40.0,774695.0,,,,,,,20.7,1.5,0.0,79.4
2020-09-05,10:00:00,732.0,0 days 00:34:32.622950819,41.0,833791.0,,,,,,,20.1,1.3,0.0,83.5
2020-09-05,11:00:00,666.0,0 days 01:06:55.855855855,41.0,835156.0,,,,,,,19.4,0.1,0.0,83.5
2020-09-05,12:00:00,24.0,0 days 00:41:10,38.0,706928.0,,,,,,,18.9,2.6,0.0,74.8
2020-09-05,13:00:00,644.0,0 days 00:32:20.310559006,37.0,786293.0,,,,,,,19.3,0.2,0.0,82.2
2020-09-05,14:00:00,518.0,0 days 00:27:51.891891891,37.0,786293.0,,,,,,,18.9,1.0,0.0,73.7
2020-09-05,15:00:00,388.0,0 days 00:30:13.608247422,35.0,799484.0,,,,,,,18.7,0.5,0.0,79.2
2020-09-05,16:00:00,358.0,0 days 00:31:32.178770949,35.0,799484.0,,,,,,,17.0,0.4,0.0,90.8
2020-09-05,17:00:00,150.0,0 days 00:27:16,34.0,790720.0,,,,,,,17.7,2.2,0.5,82.2
2020-09-05,18:00:00,54.0,0 days 00:30:02.222222222,36.0,796350.0,,,,,,,16.9,0.9,0.0,93.7
2020-09-05,19:00:00,140.0,0 days 00:33:17.142857142,36.0,796350.0,,,,,,,16.2,0.9,0.5,94.6
2020-09-05,20:00:00,56.0,0 days 00:25:42.857142857,36.0,796350.0,,,,,,,16.5,1.7,0.0,90.6
2020-09-05,21:00:00,8.0,0 days 00:25:45,36.0,782060.0,,,,,,,17.1,2.1,0.5,86.5
2020-09-05,22:00:00,,,38.0,793812.0,,,,,,,18.1,2.8,0.0,80.0
2020-09-05,23:00:00,,,37.0,729061.0,,,,,,,17.9,3.0,0.0,79.4
2020-09-06,00:00:00,,,35.0,691231.0,,,,,,,17.4,3.3,0.5,80.7
2020-09-06,01:00:00,,,40.0,720527.0,,,,,,,16.1,1.7,1.0,92.7
2020-09-06,02:00:00,,,41.0,742010.0,,,,,,,16.7,1.8,0.5,93.6
2020-09-06,03:00:00,,,40.0,686611.0,,,,,,,16.4,0.2,0.0,98.5
2020-09-06,04:00:00,,,40.0,687019.0,,,,,,,17.3,0.5,6.0,99.0
2020-09-06,05:00:00,,,38.0,676351.0,,,,,,,17.8,1.3,1.0,98.2
2020-09-06,06:00:00,,,37.0,666363.0,,,,,,,17.6,0.6,0.0,99.8
2020-09-06,07:00:00,8.0,0 days 00:16:45,37.0,678655.0,,,,,,,19.9,2.4,0.0,80.9
2020-09-06,08:00:00,28.0,0 days 00:20:21.428571428,36.0,673916.0,,,,,,,19.1,2.0,0.5,84.4
2020-09-06,09:00:00,66.0,0 days 00:17:09.090909090,38.0,686266.0,,,,,,,21.2,2.1,0.0,75.9
2020-09-06,10:00:00,40.0,0 days 00:22:00,37.0,668415.0,,,,,,,21.9,3.1,0.0,76.5
2020-09-06,11:00:00,30.0,0 days 00:34:00,37.0,668415.0,,,,,,,21.7,2.9,0.0,83.1
2020-09-06,12:00:00,16.0,0 days 00:16:22.500000,36.0,643432.0,,,,,,,21.3,3.8,0.0,88.4
2020-09-06,13:00:00,32.0,0 days 00:23:52.500000,37.0,655977.0,,,,,,,21.7,4.4,0.0,88.1
2020-09-06,14:00:00,22.0,0 days 00:20:32.727272727,36.0,640270.0,,,,,,,22.1,5.1,0.0,87.5
2020-09-06,15:00:00,34.0,0 days 00:23:52.941176470,35.0,630360.0,,,,,,,21.4,4.0,0.5,91.3
2020-09-06,16:00:00,14.0,0 days 00:14:51.428571428,34.0,557676.0,,,,,,,21.1,3.2,1.5,91.7
2020-09-06,17:00:00,4.0,0 days 00:08:30,35.0,560017.0,,,,,,,21.1,5.7,1.5,90.6
2020-09-06,18:00:00,,,35.0,560017.0,,,,,,,21.2,4.0,0.5,89.3
2020-09-06,19:00:00,,,34.0,547472.0,,,,,,,21.0,5.0,2.5,90.7
2020-09-06,20:00:00,,,34.0,547472.0,,,,,,,21.6,3.6,0.0,84.3
2020-09-06,21:00:00,,,34.0,547472.0,,,,,,,21.2,3.8,1.0,86.3
2020-09-06,22:00:00,,,34.0,547472.0,,,,,,,20.7,3.7,2.5,91.8
2020-09-06,23:00:00,,,34.0,547472.0,,,,,,,21.3,5.4,1.5,84.4
2020-09-07,00:00:00,,,34.0,547472.0,,,,,,,20.2,6.0,3.0,91.6
2020-09-07,01:00:00,,,34.0,547472.0,,,,,,,20.5,6.5,7.0,90.9
2020-09-07,02:00:00,,,34.0,547472.0,,,,,,,20.5,4.4,9.5,91.4
2020-09-07,03:00:00,,,34.0,547472.0,,,,,,,20.4,3.7,3.5,91.9
2020-09-07,04:00:00,,,34.0,547472.0,,,,,,,20.1,3.3,5.5,93.0
2020-09-07,05:00:00,,,34.0,547472.0,,,,,,,19.4,4.0,3.5,93.9
2020-09-07,06:00:00,,,34.0,547472.0,,,,,,,18.2,5.9,7.0,95.4
2020-09-07,07:00:00,,,34.0,547472.0,,,,,,,17.2,5.3,10.5,95.4
2020-09-07,08:00:00,,,34.0,547472.0,,,,,,,16.5,4.3,5.5,96.0
2020-09-07,09:00:00,,,34.0,547472.0,,,,,,,16.1,5.1,3.0,95.3
2020-09-07,10:00:00,,,34.0,547472.0,,,,,,,16.1,5.0,0.5,94.0
2020-09-07,11:00:00,,,34.0,547472.0,,,,,,,17.3,6.6,2.0,92.4
2020-09-07,12:00:00,,,34.0,547472.0,,,,,,,18.5,5.3,0.0,85.7
2020-09-07,13:00:00,,,34.0,547472.0,,,,,,,17.7,2.2,0.5,94.1
2020-09-07,14:00:00,1258.0,0 days 00:28:19.268680445,34.0,547472.0,,,,,,,18.0,2.0,1.0,93.2
2020-09-07,15:00:00,1034.0,0 days 00:33:56.982591876,34.0,547472.0,,,,,,,18.1,1.6,2.5,94.9
2020-09-07,16:00:00,908.0,0 days 00:28:20.881057268,34.0,547472.0,,,,,,,18.3,2.1,1.5,94.3
2020-09-07,17:00:00,510.0,0 days 00:25:07.529411764,33.0,544476.0,,,,,,,18.7,3.3,1.5,92.7
2020-09-07,18:00:00,116.0,0 days 00:24:19.655172413,33.0,544476.0,,,,,,,18.4,3.7,0.5,90.0
2020-09-07,19:00:00,382.0,0 days 00:25:26.701570680,33.0,544476.0,,,,,,,18.7,3.3,0.0,85.4
2020-09-07,20:00:00,162.0,0 days 00:24:37.037037037,33.0,544476.0,,,,,,,18.7,1.6,0.0,86.2
2020-09-07,21:00:00,112.0,0 days 00:21:02.142857142,33.0,544476.0,,,,,,,19.0,1.2,0.0,86.2
2020-09-07,22:00:00,22.0,0 days 00:19:43.636363636,32.0,542253.0,,,,,,,19.4,2.1,0.0,85.2
2020-09-07,23:00:00,,,32.0,551210.0,,,,,,,19.5,3.0,0.0,85.5
2020-09-08,00:00:00,,,33.0,576338.0,,,,,,,18.4,0.8,0.0,94.5
2020-09-08,01:00:00,,,34.0,583771.0,,,,,,,18.5,1.5,0.0,90.6
2020-09-08,02:00:00,,,36.0,595167.0,,,,,,,17.9,0.7,0.0,96.9
2020-09-08,03:00:00,,,36.0,744560.0,,,,,,,18.3,0.7,0.0,95.6
2020-09-08,04:00:00,,,36.0,746040.0,,,,,,,18.3,0.7,0.0,96.5
2020-09-08,05:00:00,,,35.0,737002.0,,,,,,,18.3,0.4,0.0,97.3
2020-09-08,06:00:00,,,33.0,722111.0,,,,,,,18.5,0.7,,94.4
2020-09-08,07:00:00,20.0,0 days 00:37:18,35.0,723169.0,,,,,,,19.1,1.0,,92.1
2020-09-08,08:00:00,556.0,0 days 00:29:52.446043165,35.0,729918.0,,,,,,,18.7,0.7,,96.4
2020-09-08,09:00:00,838.0,0 days 00:30:04.582338902,36.0,731588.0,,,,,,,19.5,0.5,,95.0
2020-09-08,10:00:00,854.0,0 days 00:37:40.608899297,35.0,805554.0,,,,,,,19.9,1.1,,96.3
2020-09-08,11:00:00,806.0,0 days 01:05:48.684863523,33.0,654622.0,,,,,,,22.1,2.9,,82.9
2020-09-08,12:00:00,30.0,0 days 00:28:28,31.0,651466.0,,,,,,,23.5,1.5,,79.9
2020-09-08,13:00:00,1062.0,0 days 00:32:11.751412429,30.0,650707.0,,,,,,,22.8,3.4,,79.7
2020-09-08,14:00:00,1022.0,0 days 00:35:11.624266144,34.0,786776.0,,,,,,,23.1,1.5,,81.1
2020-09-08,15:00:00,1070.0,0 days 00:39:53.943925233,30.0,776500.0,,,,,,,22.7,3.0,,84.5
2020-09-08,16:00:00,1054.0,0 days 00:42:17.191650853,30.0,776500.0,,,,,,,22.8,1.3,,86.8
2020-09-08,17:00:00,574.0,0 days 01:08:39.303135888,29.0,757299.0,68.0,42.0,0.058,0.029,0.4,0.002,22.7,1.8,,87.3
2020-09-08,18:00:00,128.0,0 days 00:51:18.750000,27.0,695392.0,64.0,39.0,0.063,0.028,0.4,0.002,22.1,0.7,,90.6
2020-09-08,19:00:00,576.0,0 days 00:54:27.500000,29.0,819225.0,71.0,41.0,0.072,0.019,0.4,0.002,20.7,0.7,,95.6
2020-09-08,20:00:00,222.0,0 days 00:36:09.729729729,29.0,819225.0,63.0,42.0,0.048,0.035,0.5,0.003,20.5,0.1,,97.5
2020-09-08,21:00:00,140.0,0 days 00:34:10.285714285,29.0,819225.0,67.0,47.0,0.029,0.039,0.5,0.002,19.5,0.9,,98.5
2020-09-08,22:00:00,58.0,0 days 00:22:08.275862068,29.0,819225.0,66.0,44.0,0.031,0.042,0.5,0.002,19.0,1.3,,97.6
2020-09-08,23:00:00,10.0,0 days 00:21:36,29.0,819225.0,76.0,52.0,0.061,0.014,0.5,0.002,19.0,1.3,,97.5
2020-09-09,00:00:00,,,28.0,741697.0,68.0,54.0,0.077,0.008,0.5,0.002,18.9,0.9,,96.4
2020-09-09,01:00:00,,,27.0,734288.0,73.0,49.0,0.075,0.006,0.5,0.002,18.2,0.8,0.0,99.2
2020-09-09,02:00:00,,,26.0,905214.0,62.0,43.0,0.073,0.007,0.4,0.002,17.9,0.9,0.0,99.8
2020-09-09,03:00:00,,,26.0,906818.0,59.0,46.0,0.056,0.008,0.4,0.001,18.0,1.0,0.0,98.8
2020-09-09,04:00:00,,,26.0,921238.0,55.0,46.0,0.045,0.008,0.4,0.001,18.6,0.6,0.0,98.8
2020-09-09,05:00:00,,,27.0,921416.0,58.0,39.0,0.047,0.011,0.4,0.001,18.5,1.1,0.0,98.5
2020-09-09,06:00:00,,,26.0,917653.0,62.0,49.0,0.045,0.01,0.4,0.001,18.4,0.4,0.0,99.5
2020-09-09,07:00:00,6.0,0 days 00:33:00,29.0,983658.0,65.0,47.0,0.045,0.019,0.4,0.002,16.8,2.8,3.0,91.7
2020-09-09,08:00:00,558.0,0 days 00:29:12.258064516,29.0,875288.0,57.0,42.0,0.067,0.013,0.3,0.001,16.7,0.8,2.5,96.8
2020-09-09,09:00:00,794.0,0 days 00:34:58.035264483,31.0,914315.0,26.0,21.0,0.046,0.033,0.3,0.001,19.3,0.3,0.0,85.7
2020-09-09,10:00:00,906.0,0 days 00:42:13.377483443,30.0,898170.0,17.0,15.0,0.04,0.034,0.3,0.003,20.3,1.7,0.0,82.5
2020-09-09,11:00:00,774.0,0 days 01:10:11.007751937,31.0,917047.0,23.0,21.0,0.056,0.027,0.8,0.006,18.6,2.1,0.0,90.7
2020-09-09,12:00:00,50.0,0 days 00:40:14.400000,30.0,885568.0,26.0,22.0,0.055,0.021,0.5,0.003,22.3,1.4,0.0,64.5
2020-09-09,13:00:00,1016.0,0 days 00:46:27.283464566,29.0,893759.0,18.0,14.0,0.069,0.01,0.2,0.001,22.6,1.9,0.0,63.0
2020-09-09,14:00:00,986.0,0 days 00:47:33.346855983,31.0,902136.0,17.0,16.0,,,,,21.5,1.2,0.0,71.6
2020-09-09,15:00:00,1042.0,0 days 00:50:56.890595009,34.0,967602.0,,,,,,,22.5,2.1,0.0,74.7
2020-09-09,16:00:00,932.0,0 days 00:49:58.712446351,32.0,938601.0,,,,,,,22.1,1.5,0.0,78.2
2020-09-09,17:00:00,572.0,0 days 00:52:57.062937062,32.0,980662.0,,,,,,,21.2,2.0,0.0,81.1
2020-09-09,18:00:00,118.0,0 days 00:45:00,32.0,1008448.0,30.0,18.0,0.054,0.022,0.4,0.001,20.3,1.3,0.0,87.7
2020-09-09,19:00:00,534.0,0 days 00:45:00.224719101,32.0,1019738.0,30.0,15.0,0.051,0.021,0.4,0.001,19.5,0.6,0.0,94.0
2020-09-09,20:00:00,242.0,0 days 00:41:57.024793388,32.0,1064288.0,28.0,17.0,0.034,0.03,0.4,0.001,19.6,0.5,0.0,93.7
2020-09-09,21:00:00,120.0,0 days 00:29:31,32.0,1091904.0,34.0,17.0,0.033,0.023,0.4,0.001,19.5,0.2,0.0,94.0
2020-09-09,22:00:00,60.0,0 days 00:23:56,33.0,1191419.0,33.0,19.0,0.034,0.026,0.4,0.001,19.8,1.6,0.0,90.7
2020-09-09,23:00:00,24.0,0 days 00:12:25,34.0,1193876.0,30.0,23.0,0.043,0.008,0.5,0.001,19.7,1.6,0.0,90.6
2020-09-10,00:00:00,,,34.0,999094.0,29.0,17.0,0.039,0.007,0.5,0.001,19.4,0.6,0.0,95.7
2020-09-10,01:00:00,,,35.0,1072593.0,25.0,18.0,0.036,0.009,0.4,0.001,19.4,1.9,2.0,95.5
2020-09-10,02:00:00,,,35.0,1065163.0,27.0,19.0,0.044,0.007,0.4,0.001,18.0,3.3,10.0,93.2
2020-09-10,03:00:00,,,35.0,1090798.0,26.0,17.0,0.054,0.005,0.3,0.001,18.2,0.5,0.0,97.7
2020-09-10,04:00:00,,,35.0,1092991.0,19.0,13.0,0.044,0.009,0.3,0.001,18.4,0.7,1.0,99.8
2020-09-10,05:00:00,,,35.0,1003868.0,17.0,12.0,0.026,0.011,0.4,0.001,18.1,1.0,0.0,99.1
2020-09-10,06:00:00,,,35.0,1003163.0,25.0,11.0,0.025,0.014,0.4,0.001,16.2,1.0,0.5,99.2
2020-09-10,07:00:00,14.0,0 days 00:53:34.285714285,35.0,977418.0,19.0,,0.011,0.02,0.4,0.001,17.0,0.7,0.0,99.8
2020-09-10,08:00:00,512.0,0 days 00:41:35.859375,36.0,976855.0,26.0,16.0,0.012,0.024,0.4,0.002,18.3,0.8,0.0,95.8
2020-09-10,09:00:00,748.0,0 days 00:38:18.288770053,36.0,955362.0,37.0,17.0,0.01,0.036,0.4,0.003,20.0,0.3,0.0,91.6
2020-09-10,10:00:00,814.0,0 days 00:38:48.501228501,40.0,998054.0,36.0,24.0,0.025,0.023,0.5,0.003,21.5,1.5,0.0,81.9
2020-09-10,11:00:00,674.0,0 days 01:03:10.860534124,39.0,997755.0,33.0,20.0,0.039,0.019,0.5,0.003,22.9,1.7,0.0,74.3
2020-09-10,12:00:00,24.0,0 days 00:44:05,39.0,1006143.0,33.0,19.0,0.047,0.015,0.7,0.005,24.0,1.7,0.0,73.9
2020-09-10,13:00:00,1080.0,0 days 00:39:14.666666666,42.0,1013179.0,29.0,22.0,0.066,0.023,0.9,0.011,22.4,1.5,0.0,77.1
2020-09-10,14:00:00,920.0,0 days 00:36:59.086956521,43.0,1047789.0,40.0,34.0,0.126,0.015,0.6,0.016,22.5,0.4,0.0,73.6
2020-09-10,15:00:00,1182.0,0 days 00:45:34.010152284,45.0,1070932.0,46.0,37.0,0.136,0.02,0.5,0.009,23.3,0.9,0.0,67.5
2020-09-10,16:00:00,908.0,0 days 00:43:44.933920704,43.0,1095383.0,44.0,31.0,0.086,0.026,0.4,0.007,22.8,0.8,0.0,75.4
2020-09-10,17:00:00,592.0,0 days 00:41:26.351351351,41.0,1040199.0,35.0,30.0,0.074,0.017,0.4,0.006,22.5,0.6,0.0,79.6
2020-09-10,18:00:00,138.0,0 days 00:53:22.608695652,40.0,985637.0,25.0,19.0,0.059,0.02,0.4,0.004,20.2,1.0,0.0,85.6
2020-09-10,19:00:00,452.0,0 days 00:48:09.557522123,39.0,980071.0,30.0,19.0,0.049,0.017,0.4,0.002,19.0,1.4,0.0,89.3
